Name,PlayerID,Kills,Headshot%,Deaths,Rounds Played,Damage,Assists,Birth Name,Age,Country,Team
coldzera,9216,231,45.5%,148,248,23510,148,Marcelo David,22,Brazil,SK
flamie,7594,136,64.0%,128,198,14513,128,Egor Vasilyev,19,Russia,Natus Vincere
Snax,2553,237,37.1%,179,295,24839,179,Janusz Pogorzelski,23,Poland,Virtus.pro
AdreN,334,95,53.7%,77,119,9698,77,Dauren Kystaubayev,27,Kazakhstan,Gambit
device,7592,122,38.5%,93,155,12741,93,Nicolai Reedtz,21,Denmark,Astralis
Magisk,9032,165,46.1%,135,212,18210,135,Emil Reif,18,Denmark,North
fer,8564,222,45.5%,164,248,23584,163,Fernando Alvarenga,25,Brazil,SK
s1mple,7998,160,55.6%,143,198,17325,142,Aleksandr Kostyliev,19,Ukraine,Natus Vincere
Kjaerbye,8394,113,54.0%,99,155,12338,99,Markus Kjærbye,18,Denmark,Astralis
RUSH,7805,59,47.5%,69,93,6212,68,Will Wierzba,22,United States,OpTic
NiKo,3741,114,46.5%,71,108,11491,71,Nikola Kovač,20,Bosnia and Herzegovina,FaZe
allu,695,85,34.1%,96,134,9246,96,Aleksi Jalli,24,Finland,FaZe
Edward,483,144,62.5%,141,198,16137,140,Ioann Sukhariev,29,Ukraine,Natus Vincere
TaZ,161,191,53.9%,190,295,20473,188,Wiktor Wojtas,30,Poland,Virtus.pro
KRIMZ,7528,51,41.2%,65,92,6670,65,Freddy Johansson,22,Sweden,fnatic
gla1ve,7412,87,48.3%,97,155,10602,97,Lukas Rossander,21,Denmark,Astralis
pashaBiceps,317,211,33.2%,186,295,23128,185,Jarosław Jarząbkowski,28,Poland,Virtus.pro
JW,3849,69,39.1%,66,92,7718,66,Jesper Wecksell,21,Sweden,fnatic
seized,3347,117,51.3%,142,198,13444,142,Denis Kostin,22,Russia,Natus Vincere
flusha,3055,51,43.1%,74,92,6642,73,Robin Rönnquist,23,Sweden,fnatic
cajunb,2469,153,34.6%,129,212,16451,129,René Borg,27,Denmark,North
dupreeh,7398,136,49.3%,102,155,13841,102,Peter Rasmussen,23,Denmark,Astralis
karrigan,429,88,52.3%,97,134,9192,96,Finn Andersen,26,Denmark,FaZe
HObbit,8528,88,40.9%,83,119,10174,83,Abay Khasenov,22,Kazakhstan,Gambit
GuardiaN,2757,138,27.5%,131,198,14117,130,Ladislav Kovács,25,Slovakia,Natus Vincere
mou,964,74,18.9%,87,119,7199,10,Rustem Telepov,25,Kazakhstan,Gambit
olofmeister,885,65,41.5%,65,92,6403,65,Olof Kajbjer,25,Sweden,fnatic
rain,8183,96,67.7%,100,134,11256,100,Håvard Nygaard,22,Norway,FaZe
kioShiMa,4959,82,52.4%,99,134,10170,13,Fabien Fiey,22,France,FaZe
Xyp9x,4954,97,41.2%,92,155,11020,91,Andreas Højsleth,21,Denmark,Astralis
Zeus,484,92,44.6%,85,119,9972,84,Danylo Teslenko,29,Ukraine,Gambit
byali,5386,227,43.6%,204,295,25901,203,Paweł Bieliński,22,Poland,Virtus.pro
FalleN,2023,146,42.5%,148,248,16640,148,Gabriel Toledo,25,Brazil,SK
aizy,8095,132,54.6%,151,212,15433,150,Philip Aistrup,20,Denmark,North
NAF,8520,50,42.0%,74,93,6435,74,Keith Markovic,19,Canada,OpTic
k0nfig,9078,162,44.4%,147,212,17596,146,Kristian Wienecke,19,Denmark,North
Dosia,735,76,48.7%,74,119,9139,73,Mihail Stolyarov,28,Russia,Gambit
dennis,1146,50,72.0%,73,92,5336,72,Dennis Edman,26,Sweden,fnatic
NEO,165,211,37.9%,186,295,23334,185,Filip Kubski,29,Poland,Virtus.pro
loWel,3997,73,54.8%,70,108,8812,70,Christian Garcia Antoran,20,Spain,mousesports
TACO,9217,151,48.3%,145,248,15872,143,Epitacio de Melo,22,Brazil,SK
mixwell,8370,60,41.7%,70,93,7095,15,Óscar Cañellas,21,Spain,OpTic
denis,7511,61,39.3%,86,108,7516,86,Denis Howell,22,Germany,mousesports
Hiko,2644,43,53.5%,69,93,5133,68,Spencer Martin,26,United States,OpTic
tarik,8523,57,38.6%,72,93,6333,71,Tarik Celik,21,United States,OpTic
MSL,7156,153,39.9%,142,212,15391,142,Mathias Lauridsen,22,Denmark,North
Spiidi,7499,44,45.5%,73,108,5529,73,Timo Richter,21,Germany,mousesports
oskar,798,89,25.8%,75,108,8856,74,Tomá ťastný,25,Czech Republic,mousesports
Skadoodle,7440,95,22.1%,75,121,9958,75,Tyler Latham,23,United States,Cloud9
Stewie2K,8797,91,40.7%,82,121,10164,82,Jake Yip,19,United States,Cloud9
felps,9219,189,44.4%,179,248,21923,178,Joao Vasconcellos,20,Brazil,SK
f0rest,29,118,50.0%,116,165,10708,115,Patrik Lindberg,28,Sweden,NiP
autimatic,8735,81,40.7%,83,121,8712,83,Timothy Ta,20,United States,Cloud9
jkaem,8248,86,44.2%,98,134,9942,97,Joakim Myrbostad,22,Norway,FaZe
GeT_RiGhT,39,109,42.2%,120,165,12177,120,Christopher Alesund,26,Sweden,NiP
pyth,7527,110,54.6%,130,165,11318,130,Jacob Mourujärvi,23,Sweden,NiP
shroud,8349,75,62.7%,87,121,8712,16,Mike Grzesiek,22,Canada,Cloud9
n0thing,203,77,50.7%,91,121,8494,10,Jordan Gilbert,26,United States,Cloud9
friberg,7148,96,49.0%,115,165,11500,24,Adam Friberg,25,Sweden,NiP
Xizt,884,94,46.8%,118,165,11946,29,Richard Landström,26,Sweden,NiP
