Name,PlayerID,Kills,Headshot%,Deaths,Rounds Played,Damage,Assists,Birth Name,Age,Country,Team
coldzera,9216,207,42.5%,143,243,20849,34,Marcelo David,22,Brazil,SK
flamie,7594,125,60.0%,91,139,13900,90,Egor Vasilyev,19,Russia,Natus Vincere
Snax,2553,262,31.3%,186,316,26449,186,Janusz Pogorzelski,23,Poland,Virtus.pro
AdreN,334,151,38.4%,111,170,15946,110,Dauren Kystaubayev,27,Kazakhstan,Gambit
device,7592,290,29.3%,213,349,29385,212,Nicolai Reedtz,21,Denmark,Astralis
kennyS,7167,117,40.2%,90,141,10730,90,Kenny Schrub,21,France,G2
Magisk,9032,188,50.5%,155,225,21037,155,Emil Reif,18,Denmark,North
fer,8564,195,39.0%,177,243,20606,177,Fernando Alvarenga,25,Brazil,SK
s1mple,7998,110,47.3%,86,139,10981,86,Aleksandr Kostyliev,19,Ukraine,Natus Vincere
Kjaerbye,8394,265,52.8%,219,349,27954,59,Markus Kjærbye,18,Denmark,Astralis
shox,1225,78,46.2%,67,102,8292,67,Richard Papillon,24,France,G2
RpK,7169,80,55.0%,74,102,8241,74,Cédric Guipouy,27,France,EnVyUs
electronic,8918,67,47.8%,63,84,7039,63,Denis Sharipov,18,Russia,FlipSid3
RUSH,7805,86,25.6%,76,110,9449,75,Will Wierzba,22,United States,OpTic
NiKo,3741,66,57.6%,65,89,7280,64,Nikola Kovač,20,Bosnia and Herzegovina,FaZe
allu,695,163,31.9%,142,221,16265,141,Aleksi Jalli,24,Finland,FaZe
Edward,483,91,51.7%,82,139,10716,82,Ioann Sukhariev,29,Ukraine,Natus Vincere
TaZ,161,220,55.0%,203,316,23542,202,Wiktor Wojtas,30,Poland,Virtus.pro
KRIMZ,7528,169,42.6%,154,230,18745,154,Freddy Johansson,22,Sweden,fnatic
gla1ve,7412,240,45.4%,222,349,27291,223,Lukas Rossander,21,Denmark,Astralis
pashaBiceps,317,225,39.1%,213,316,23826,211,Jarosław Jarząbkowski,28,Poland,Virtus.pro
JW,3849,93,31.2%,91,126,10067,90,Jesper Wecksell,21,Sweden,fnatic
seized,3347,94,35.1%,88,139,10564,87,Denis Kostin,22,Russia,Natus Vincere
NBK-,7168,102,48.0%,99,141,11435,98,Nathan Schmitt,22,France,G2
flusha,3055,92,56.5%,86,126,10760,85,Robin Rönnquist,23,Sweden,fnatic
bodyy,8374,73,56.2%,70,102,8251,70,Alexandre Pianaro,20,France,G2
ANGE1,339,66,60.6%,70,80,7256,70,Kirill Karasiow,27,Ukraine,HellRaisers
cajunb,2469,145,28.3%,136,225,15930,135,René Borg,27,Denmark,North
Pimp,7154,111,49.6%,104,155,11733,103,Jacob Winneche,21,Denmark,Liquid
apEX,7322,106,47.2%,104,141,12140,104,Dan Madesclaire,23,France,G2
dupreeh,7398,246,43.9%,239,349,26838,237,Peter Rasmussen,23,Denmark,Astralis
twist,7443,156,49.4%,153,230,17710,154,Simon Eliasson,22,Sweden,GODSENT
karrigan,429,155,41.3%,151,221,16442,150,Finn Andersen,26,Denmark,FaZe
RUBINO,1485,151,56.3%,147,225,15367,146,Ruben Villarroel,22,Norway,No team
fox,629,158,34.8%,148,243,18006,148,Ricardo Pacheco,30,Portugal,No team
HObbit,8528,114,38.6%,111,170,13311,110,Abay Khasenov,22,Kazakhstan,Gambit
GuardiaN,2757,94,24.5%,88,139,9785,87,Ladislav Kovács,25,Slovakia,Natus Vincere
mou,964,112,23.2%,113,170,11543,112,Rustem Telepov,25,Kazakhstan,Gambit
znajder,3847,86,47.7%,89,126,9172,89,Andreas Lindberg,23,Sweden,GODSENT
markeloff,338,55,50.9%,54,84,6560,53,Yegor Markelov,29,Ukraine,FlipSid3
olofmeister,885,163,44.8%,166,230,17158,165,Olof Kajbjer,25,Sweden,fnatic
rain,8183,152,48.0%,161,221,17768,161,Håvard Nygaard,22,Norway,FaZe
kioShiMa,4959,146,54.8%,153,221,17967,152,Fabien Fiey,22,France,FaZe
Xyp9x,4954,223,42.2%,231,349,26454,230,Andreas Højsleth,21,Denmark,Astralis
Zeus,484,106,41.5%,114,170,12171,113,Danylo Teslenko,29,Ukraine,Gambit
byali,5386,201,48.8%,213,316,23447,211,Paweł Bieliński,22,Poland,Virtus.pro
FalleN,2023,150,30.7%,154,243,17593,153,Gabriel Toledo,25,Brazil,SK
jdm64,8346,96,29.2%,105,155,10850,105,Josh Marzano,26,United States,Liquid
STYKO,6904,49,55.1%,63,80,5872,63,Martin Styk,20,Slovakia,HellRaisers
Happy,7429,92,44.6%,96,141,9672,95,Vincent Schopenhauer,25,France,EnVyUs
chrisJ,2730,56,28.6%,61,89,6301,61,Chris de Jong,26,Netherlands,mousesports
aizy,8095,139,53.2%,155,221,15381,154,Philip Aistrup,20,Denmark,North
NAF,8520,64,35.9%,78,110,8206,78,Keith Markovic,19,Canada,OpTic
k0nfig,9078,141,53.2%,163,225,15884,162,Kristian Wienecke,19,Denmark,North
stanislaw,8507,70,42.9%,79,110,6897,79,Peter Jarguz,22,Canada,Liquid
B1ad3,472,54,33.3%,63,84,5754,63,Andrey Gorodenskiy,30,Ukraine,FlipSid3
Dosia,735,103,50.5%,119,170,12155,118,Mihail Stolyarov,28,Russia,Gambit
dennis,1146,138,50.7%,171,230,15962,170,Dennis Edman,26,Sweden,fnatic
NEO,165,179,38.6%,213,316,22846,211,Filip Kubski,29,Poland,Virtus.pro
loWel,3997,51,41.2%,62,89,5874,62,Christian Garcia Antoran,20,Spain,mousesports
Zero,8413,47,57.5%,56,80,5376,56,Patrik údel,18,Slovakia,HellRaisers
TACO,9217,141,51.8%,166,243,15503,165,Epitacio de Melo,22,Brazil,SK
disco doplan,9256,119,52.1%,148,230,13754,147,Joakim Gidetun,21,Sweden,GODSENT
mixwell,8370,64,32.8%,77,110,7524,77,Óscar Cañellas,21,Spain,OpTic
denis,7511,55,47.3%,70,89,6639,70,Denis Howell,22,Germany,mousesports
ScreaM,7390,52,76.9%,68,102,5752,68,Adil Benrlitom,22,Belgium,EnVyUs
Hiko,2644,89,52.8%,110,155,11268,110,Spencer Martin,26,United States,OpTic
nitr0,7687,82,41.5%,113,155,9315,113,Nick Cannella,21,United States,Liquid
WorldEdit,7403,48,33.3%,64,84,5787,63,Georgi Yaskin,25,Russia,FlipSid3
wayLander,7796,48,58.3%,70,84,5728,69,Jan Rahkonen,22,Finland,FlipSid3
tarik,8523,62,41.9%,85,110,7469,84,Tarik Celik,21,United States,OpTic
DeadFox,8716,40,45.0%,56,80,4520,56,Bence Böröcz,22,Hungary,HellRaisers
bondik,2131,44,45.5%,61,80,4616,60,Vladyslav Nechyporchuk,23,Ukraine,HellRaisers
SIXER,147,70,45.7%,105,141,9235,104,Christophe Xia,25,France,EnVyUs
MSL,7156,109,38.5%,171,225,14175,171,Mathias Lauridsen,22,Denmark,North
pronax,41,56,32.1%,94,126,7068,94,Markus Wallsten,25,Sweden,GODSENT
Spiidi,7499,32,56.3%,65,89,3773,64,Timo Richter,21,Germany,mousesports
SmithZz,7170,46,43.5%,79,102,6007,78,Edouard Dubourdeaux,28,France,G2
