Name,PlayerID,Kills,Headshot%,Deaths,Rounds Played,Damage,Assists,Birth Name,Age,Country,Team
coldzera,9216,213,36.6%,124,238,21039,26,Marcelo David,22,Brazil,SK
flamie,7594,87,52.9%,89,128,10534,23,Egor Vasilyev,19,Russia,Natus Vincere
Snax,2553,144,18.1%,129,209,15382,22,Janusz Pogorzelski,23,Poland,Virtus.pro
AdreN,334,71,52.1%,66,91,7480,10,Dauren Kystaubayev,27,Kazakhstan,Gambit
device,7592,180,38.3%,133,211,18272,25,Nicolai Reedtz,21,Denmark,Astralis
kennyS,7167,41,24.4%,34,51,3733,3,Kenny Schrub,21,France,G2
fer,8564,165,44.2%,157,238,18944,42,Fernando Alvarenga,25,Brazil,SK
s1mple,7998,225,47.6%,193,280,23632,30,Aleksandr Kostyliev,19,Ukraine,Natus Vincere
shox,1225,35,28.6%,42,56,4076,42,Richard Papillon,24,France,G2
RpK,7169,43,39.5%,38,56,4239,3,Cédric Guipouy,27,France,EnVyUs
RUSH,7805,27,40.7%,36,49,2930,3,Will Wierzba,22,United States,OpTic
NiKo,3741,71,49.3%,78,103,8662,17,Nikola Kovač,20,Bosnia and Herzegovina,FaZe
Edward,483,106,42.5%,80,128,10124,7,Ioann Sukhariev,29,Ukraine,Natus Vincere
TaZ,161,156,54.5%,152,209,16448,25,Wiktor Wojtas,30,Poland,Virtus.pro
KRIMZ,7528,160,46.9%,113,205,16441,18,Freddy Johansson,22,Sweden,fnatic
gla1ve,7412,157,49.0%,150,211,17302,31,Lukas Rossander,21,Denmark,Astralis
pashaBiceps,317,136,36.8%,142,209,14567,18,Jarosław Jarząbkowski,28,Poland,Virtus.pro
JW,3849,135,34.8%,135,205,15211,34,Jesper Wecksell,21,Sweden,fnatic
seized,3347,91,37.4%,85,128,10419,17,Denis Kostin,22,Russia,Natus Vincere
NBK-,7168,26,73.1%,38,51,3988,11,Nathan Schmitt,22,France,G2
flusha,3055,151,49.0%,124,205,16769,34,Robin Rönnquist,23,Sweden,fnatic
bodyy,8374,27,51.9%,43,56,3992,8,Alexandre Pianaro,20,France,G2
cajunb,2469,103,31.1%,89,136,10485,9,René Borg,27,Denmark,North
apEX,7322,33,54.6%,37,51,4182,9,Dan Madesclaire,24,France,G2
dupreeh,7398,33,57.6%,40,50,3835,8,Peter Rasmussen,23,Denmark,Astralis
karrigan,429,141,27.7%,137,211,14453,18,Finn Andersen,26,Denmark,FaZe
RUBINO,1485,104,59.6%,94,136,11600,23,Ruben Villarroel,22,Norway,North
fox,629,56,21.4%,76,100,6600,12,Ricardo Pacheco,30,Portugal,FaZe
GuardiaN,2757,85,32.9%,77,128,9318,14,Ladislav Kovács,25,Slovakia,Natus Vincere
mou,964,55,34.6%,59,91,6506,13,Rustem Telepov,25,Kazakhstan,Gambit
markeloff,338,127,36.2%,111,186,13596,20,Yegor Markelov,29,Ukraine,FlipSid3
olofmeister,885,142,45.1%,131,205,15723,34,Olof Kajbjer,25,Sweden,fnatic
rain,8183,62,56.5%,76,100,6659,10,Håvard Nygaard,22,Norway,FaZe
